id,home_team_country,away_team_country,winner,home_team_goals,home_team_penalties,away_team_goals,away_team_penalties,home_team_attempts_on_goal,home_team_on_target,home_team_corners,home_team_offsides,home_team_num_passes,home_team_passes_completed,home_team_tackles,home_team_goal_kicks,home_team_throw_ins,home_team_yellow_cards,home_team_red_cards,home_team_fouls_committed,away_team_attempts_on_goal,away_team_on_target,away_team_corners,away_team_offsides,away_team_num_passes,away_team_passes_completed,away_team_tackles,away_team_goal_kicks,away_team_throw_ins,away_team_yellow_cards,away_team_red_cards,away_team_fouls_committed,week
41,CRO,BEL,Draw,0,0,0,0,11,4,2,4,616,508,9,7,27,0,0,7,16,3,4,0,638,545,14,8,15,1,0,9,3
42,CAN,MAR,Morocco,1,0,2,0,5,0,6,4,573,480,13,5,23,4,0,14,6,2,2,4,404,309,23,6,20,0,0,14,3
43,JPN,ESP,Japan,2,0,1,0,6,3,0,2,245,165,11,5,11,3,0,9,12,5,2,2,1106,995,11,5,22,0,0,6,3
44,CRC,GER,Germany,2,0,4,0,8,6,1,4,372,274,21,13,15,1,0,3,32,11,14,3,773,672,10,2,18,0,0,9,3
45,GHA,URU,Uruguay,0,0,2,0,9,3,5,2,492,374,23,9,32,2,0,18,12,6,2,2,475,365,23,5,24,5,0,11,3
46,KOR,POR,Korea Republic,2,0,1,0,13,6,5,1,391,301,11,9,15,2,0,9,13,6,4,5,623,532,12,7,20,0,0,10,3
47,CMR,BRA,Cameroon,1,0,0,0,7,3,3,0,325,247,22,16,11,6,1,14,21,7,11,1,594,507,19,6,15,2,0,14,3
48,SRB,SUI,Switzerland,2,0,3,0,12,4,2,0,519,400,13,7,23,6,0,18,14,7,0,0,451,343,10,8,22,4,0,14,3
49,NED,USA,Netherlands,3,0,1,0,11,6,4,0,442,332,22,7,16,2,0,10,17,6,5,3,623,497,14,6,21,0,0,5,4
50,ARG,AUS,Argentina,2,0,1,0,14,5,1,3,729,635,15,4,24,0,0,8,5,1,3,0,477,384,11,10,23,2,0,15,4
51,FRA,POL,France,3,0,1,0,16,8,7,3,601,501,11,11,19,1,0,10,11,1,1,1,490,401,17,4,13,2,0,8,4
52,ENG,SEN,England,3,0,0,0,8,4,3,0,627,532,21,11,18,0,0,16,10,1,3,0,400,315,11,6,15,1,0,12,4
53,JPN,CRO,Croatia,1,1,1,3,13,4,8,3,588,427,13,8,29,0,0,13,17,4,5,0,801,650,14,9,28,2,0,16,4
54,BRA,KOR,Brazil,4,0,1,0,17,8,5,0,639,560,14,6,15,0,0,8,8,6,4,5,564,474,21,8,13,1,0,13,4
55,MAR,ESP,Marocco,0,0,0,0,6,2,0,5,351,241,26,13,29,1,0,15,13,1,8,4,1088,969,11,10,33,1,0,14,4
56,POR,SUI,Portugal,6,0,1,0,15,9,6,3,486,396,16,5,18,0,0,12,10,2,6,3,537,442,5,5,27,2,0,11,4
57,CRO,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
58,NED,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
59,POR,MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
60,ENG,FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
