home_team_country,away_team_country,home_sentiment_score,away_sentiment_score
ARG,AUS,0.0434942380952381,0.08758566666666673
ARG,KSA,0.18580889285714305,0.1452386071428572
ARG,MEX,0.16442270742358073,0.1199504366812226
AUS,DEN,0.12346733774038467,0.07120510817307696
BEL,CAN,0.04739190871369295,0.19328579990779127
BEL,MAR,0.1294719809322033,0.10208691737288139
BRA,KOR,0.12463069896743446,0.0044089753772835584
BRA,SRB,0.2264008671742811,0.10025031725888342
BRA,SUI,0.1314717979555021,0.10501707757065541
CAN,MAR,0.18977735849056607,0.08693165618448635
CMR,BRA,0.04198171247357296,0.2789255813953486
CMR,SRB,0.029706927899686528,0.1662743887147334
CRC,GER,0.02991846017699116,0.1296489557522123
CRO,BEL,0.017662656364974248,0.1021396247240617
CRO,CAN,0.007543418803418806,0.24011393162393155
DEN,TUN,0.46560042016806796,0.11387798319327734
ECU,SEN,0.1755817708333333,0.014798437499999999
ENG,IRN,0.09764349189754305,-0.0007704260324100204
ENG,SEN,0.12150673952641168,0.023517759562841533
ESP,CRC,0.1660014946764944,0.03497029074529068
ESP,GER,0.10946672514619886,0.1665785964912282
FRA,DEN,0.21416545298165116,0.10505200688073389
FRA,POL,0.10378386015325675,0.07503510536398468
GER,JPN,0.037307548125633194,0.12492745694022292
IRN,USA,-0.15927510121457486,0.011189473684210525
JAP,CRC,0.23287403162055367,0.0016509486166007903
JPN,ESP,0.11974254975793448,0.12845527165142565
JPN,ICP,0.04929166666666657,0.031189191419141914
KOR,POR,0.063003970223325,0.15537344913151344
KSA,MEX,0.011991528089887635,0.03608312359550562
MAR,CRO,0.22976810344827578,0.0018612068965517252
MAR,ESP,0.0692916414904331,0.06318232628398791
NED,ECU,0.10947484309623427,0.1298103556485355
NED,QAT,0.0924685430463576,0.008005353200882985
NED,USA,0.07516788224956057,0.07715698594024607
POL,ARG,0.07305465853658528,0.16380097560975593
POL,KSA,0.23584035893155267,0.06151181135225374
POR,SUI,0.13568518292682924,0.06095079268292683
KOR,GHA,0.04319151670951156,0.20068534704370164
POR,GHA,0.1647514776839566,0.06451957177322071
POR,URU,0.11815034351145033,0.07648610687022907
QAT,SEN,0.23885507518797,0.03380075187969925
SEN,NED,0.0324568281938326,0.21210297356828192
SRB,SUI,0.07132063423110346,0.04088370981754992
SUI,CMR,0.11609954242928454,0.04666659733777041
TUN,AUS,0.10224449646275496,0.2719280170620053
TUN,FRA,0.03524922600619198,0.06082041408668741
URU,KOR,0.1328396853146852,0.18201363636363624
USA,ENG,0.07745461356466879,0.20355520504731853
USA,WAL,0.19077402843601918,0.0753577251184834
WAL,ENG,0.03482898832684824,0.2441484435797665
WAL,IRN,-0.21821815618221124,-0.5154151626897948
QAT,ECU,0.54538,0.0
CRO,BRA,0.011910580595874715,0.12654434682964108
NED,ARG,0.047250314070351754,0.236211264656616
MAR,POR,0.10272190170940174,0.13219834401709404
ENG,FRA,0.047961759301791425,0.17668050068902158
ARG,CRO,0.1973600144092219,0.016808645533141216
FRA,MAR,0.14301066147859928,0.21993642023346305
CRO,MAR,0.016808645533141216,0.21993642023346305
ARG,FRA,0.1973600144092219,0.14301066147859928
